key,trusted,name
d3d535f3e1547c25469f8bfda7bbab92cb3567055d08f93c80aa2ab1ba229f08,false,Numworks (Beta)
48bdfc8bf3a67e1a1795b4de0db30133bdd02138109dcccd193486d27dedcd5e,true,Numworks
3899b8c0087a30a79f29c4e57fad82d6a95a6b8ccea96dcfeca48073557d9dc0,true,Lambda
